,molecule_chembl_id,canonical_smiles,pIC50,fp
44,CHEMBL508404,Cc1cc(Nc2c(F)c(F)cc(F)c2F)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
45,CHEMBL492497,Cc1cc(Nc2c(F)c(F)c(F)c(F)c2F)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
46,CHEMBL502389,Cc1ccc(Nc2cc(C)nc3ncnn23)c(F)c1,4.568636235841013,[0 0 0 ... 0 0 0]
47,CHEMBL523163,Cc1cc(Nc2ccc(F)c(F)c2)n2ncnc2n1,5.096910013008056,[0 0 0 ... 0 0 0]
48,CHEMBL492695,Cc1cc(Nc2cc(F)cc(F)c2)n2ncnc2n1,5.026872146400302,[0 0 0 ... 0 0 0]
49,CHEMBL492711,Cc1cc(Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
50,CHEMBL492712,Cc1cc(Nc2ccc(F)c(C)c2)n2ncnc2n1,5.337242168318426,[0 0 0 ... 0 0 0]
51,CHEMBL452392,Cc1cc(Nc2ccc(Cl)c(C(F)(F)F)c2)n2ncnc2n1,6.096910013008056,[0 0 0 ... 0 0 0]
52,CHEMBL13380,Cc1cc(Nc2ccc(Br)c(C(F)(F)F)c2)n2ncnc2n1,6.346787486224656,[0 0 0 ... 0 0 0]
53,CHEMBL437480,Cc1cc(Nc2ccc(C)c(C(F)(F)F)c2)n2ncnc2n1,5.809668301829708,[0 0 0 ... 0 0 0]
54,CHEMBL447995,Cc1cc(Nc2ccc(C)c(C)c2)n2ncnc2n1,6.455931955649724,[0 0 0 ... 0 0 0]
55,CHEMBL522325,Cc1cc(Nc2ccc(C#N)c(C(F)(F)F)c2)n2ncnc2n1,5.309803919971486,[0 0 0 ... 0 0 0]
56,CHEMBL492719,Cc1cc(Nc2ccc(C)c(F)c2)n2ncnc2n1,6.0655015487564325,[0 0 0 ... 0 0 0]
57,CHEMBL492720,Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ncnc2n1,7.113509274827518,[0 0 0 ... 0 0 0]
58,CHEMBL444928,Cc1cc(Nc2ccccc2F)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
59,CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,7.327902142064283,[0 0 0 ... 0 0 0]
60,CHEMBL475814,Cc1cc(Nc2ccc3cc4ccccc4cc3c2)n2ncnc2n1,7.251811972993799,[0 0 0 ... 0 0 0]
61,CHEMBL446825,Cc1cc(Nc2ccccc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
62,CHEMBL449358,Cc1cc(Nc2cccc3ccccc23)n2ncnc2n1,4.346787486224656,[0 0 0 ... 0 0 0]
63,CHEMBL484305,Cc1cc(Nc2ccc3c(=O)cc(C)oc3c2)n2ncnc2n1,5.698970004336019,[0 0 0 ... 0 0 0]
64,CHEMBL487518,Cc1cc(Nc2cc3ccccc3cc2O)n2ncnc2n1,6.481486060122113,[0 0 0 ... 0 0 0]
65,CHEMBL451880,Cc1cc(Nc2ccc3ncccc3c2)n2ncnc2n1,5.920818753952375,[0 0 0 ... 0 0 0]
66,CHEMBL503135,Cc1cc(Nc2cnc3ccccc3c2)n2ncnc2n1,5.769551078621726,[0 0 0 ... 0 0 0]
